session_id,total_reads,success_reads,success_rate,tag_local_id,distance_cm,orientation_deg,repetitions
S20251104_S1_TAG04_d1_o90_run1,150,142,94.67,TAG04,1,90,150
S20251104_S1_TAG04_d3_o0_run1,150,149,99.33,TAG04,3,0,150
S20251104_S1_TAG04_d3_o45_run1,150,150,100.0,TAG04,3,45,150
S20251104_S1_TAG04_d3_o90_run1,150,150,100.0,TAG04,3,90,150
S20251104_S1_TAG04_d4_o0_run1,150,150,100.0,TAG04,4,0,150
S20251104_S1_TAG04_d4_o45_run1,150,142,94.67,TAG04,4,45,150
S20251104_S1_TAG04_d4_o90_run1,150,143,95.33,TAG04,4,90,150
S20251104_S1_TAG05_d1_o0_run1,150,142,94.67,TAG05,1,0,150
S20251104_S1_TAG05_d1_o45_run1,150,142,94.67,TAG05,1,45,150
S20251104_S1_TAG05_d1_o90_run1,150,142,94.67,TAG05,1,90,150
S20251104_S1_TAG05_d3_o0_run1,150,142,94.67,TAG05,3,0,150
S20251104_S1_TAG05_d3_o45_run1,150,143,95.33,TAG05,3,45,150
S20251104_S1_TAG05_d3_o90_run1,150,142,94.67,TAG05,3,90,150
S20251104_S1_TAG05_d4_o0_run1,150,142,94.67,TAG05,4,0,150
S20251104_S1_TAG05_d4_o45_run1,150,142,94.67,TAG05,4,45,150
S20251104_S1_TAG05_d4_o90_run1,100,92,92.0,TAG05,4,90,100
S20251104_S1_TAG06_d1_o0_run1,100,93,93.0,TAG06,1,0,100
S20251104_S1_TAG06_d1_o45_run1,100,94,94.0,TAG06,1,45,100
S20251104_S1_TAG06_d1_o90_run1,100,92,92.0,TAG06,1,90,100
S20251104_S1_TAG06_d3_o0_run1,100,92,92.0,TAG06,3,0,100
S20251104_S1_TAG06_d3_o45_run1,100,91,91.0,TAG06,3,45,100
S20251104_S1_TAG06_d3_o90_run1,100,93,93.0,TAG06,3,90,100
S20251104_S1_TAG06_d4_o0_run1,100,100,100.0,TAG06,4,0,100
S20251104_S1_TAG06_d4_o45_run1,100,92,92.0,TAG06,4,45,100
S20251104_S1_TAG06_d4_o90_run1,100,92,92.0,TAG06,4,90,100
S20251104_S1_TAG07_d1_o0_run1,100,100,100.0,TAG07,1,0,100
S20251104_S1_TAG07_d1_o45_run1,100,93,93.0,TAG07,1,45,100
S20251104_S1_TAG07_d1_o90_run1,100,100,100.0,TAG07,1,90,100
S20251104_S1_TAG07_d3_o0_run1,100,92,92.0,TAG07,3,0,100
S20251104_S1_TAG07_d3_o45_run1,100,93,93.0,TAG07,3,45,100
S20251104_S1_TAG07_d3_o90_run1,100,92,92.0,TAG07,3,90,100
S20251104_S1_TAG07_d4_o0_run1,100,92,92.0,TAG07,4,0,100
S20251104_S1_TAG07_d4_o45_run1,100,93,93.0,TAG07,4,45,100
S20251104_S1_TAG07_d4_o90_run1,100,93,93.0,TAG07,4,90,100
S20251104_S1_TAG08_d1_o0_run1,100,92,92.0,TAG08,1,0,100
S20251104_S1_TAG08_d1_o45_run1,100,92,92.0,TAG08,1,45,100
S20251104_S1_TAG08_d1_o90_run1,100,94,94.0,TAG08,1,90,100
S20251104_S1_TAG08_d3_o0_run1,100,92,92.0,TAG08,3,0,100
S20251104_S1_TAG08_d3_o45_run1,100,92,92.0,TAG08,3,45,100
S20251104_S1_TAG08_d3_o90_run1,100,100,100.0,TAG08,3,90,100
S20251104_S1_TAG08_d4_o0_run1,100,92,92.0,TAG08,4,0,100
S20251104_S1_TAG08_d4_o45_run1,100,100,100.0,TAG08,4,45,100
S20251104_S1_TAG08_d4_o90_run1,100,100,100.0,TAG08,4,90,100
S20251104_S1_TAG09_d1_o0_run1,100,100,100.0,TAG09,1,0,100
S20251104_S1_TAG09_d1_o45_run1,100,100,100.0,TAG09,1,45,100
S20251104_S1_TAG09_d1_o90_run1,100,100,100.0,TAG09,1,90,100
S20251104_S1_TAG09_d3_o0_run1,100,93,93.0,TAG09,3,0,100
S20251104_S1_TAG09_d3_o45_run1,100,93,93.0,TAG09,3,45,100
S20251104_S1_TAG09_d3_o90_run1,100,100,100.0,TAG09,3,90,100
S20251104_S1_TAG09_d4_o0_run1,100,99,99.0,TAG09,4,0,100
S20251104_S1_TAG09_d4_o45_run1,100,100,100.0,TAG09,4,45,100
S20251104_S1_TAG09_d4_o90_run1,100,100,100.0,TAG09,4,90,100
S20251104_S1_TAG10_d1_o0_run1,100,100,100.0,TAG10,1,0,100
S20251104_S1_TAG10_d1_o45_run1,100,92,92.0,TAG10,1,45,100
S20251104_S1_TAG10_d1_o90_run1,100,92,92.0,TAG10,1,90,100
S20251104_S1_TAG10_d3_o0_run1,100,93,93.0,TAG10,3,0,100
S20251104_S1_TAG10_d3_o45_run1,100,92,92.0,TAG10,3,45,100
S20251104_S1_TAG10_d3_o90_run1,100,92,92.0,TAG10,3,90,100
S20251104_S1_TAG10_d4_o0_run1,100,92,92.0,TAG10,4,0,100
S20251104_S1_TAG10_d4_o45_run1,100,92,92.0,TAG10,4,45,100
S20251104_S1_TAG10_d4_o90_run1,100,92,92.0,TAG10,4,90,100
S20251104_S1_TAG11_d1_o0_run1,100,93,93.0,TAG11,1,0,100
S20251104_S1_TAG11_d1_o45_run1,100,92,92.0,TAG11,1,45,100
S20251104_S1_TAG11_d1_o90_run1,100,92,92.0,TAG11,1,90,100
S20251104_S1_TAG11_d3_o0_run1,100,93,93.0,TAG11,3,0,100
S20251104_S1_TAG11_d3_o45_run1,100,92,92.0,TAG11,3,45,100
S20251104_S1_TAG11_d3_o90_run1,100,92,92.0,TAG11,3,90,100
S20251104_S1_TAG11_d4_o0_run1,100,92,92.0,TAG11,4,0,100
S20251104_S1_TAG11_d4_o45_run1,100,93,93.0,TAG11,4,45,100
S20251104_S1_TAG11_d4_o90_run1,100,92,92.0,TAG11,4,90,100
S20251104_S1_TAG12_d1_o0_run1,100,92,92.0,TAG12,1,0,100
S20251104_S1_TAG12_d1_o45_run1,100,93,93.0,TAG12,1,45,100
S20251104_S1_TAG12_d1_o90_run1,100,93,93.0,TAG12,1,90,100
S20251104_S1_TAG12_d3_o0_run1,100,92,92.0,TAG12,3,0,100
S20251104_S1_TAG12_d3_o45_run1,100,92,92.0,TAG12,3,45,100
S20251104_S1_TAG12_d3_o90_run1,100,93,93.0,TAG12,3,90,100
S20251104_S1_TAG12_d4_o0_run1,100,92,92.0,TAG12,4,0,100
S20251104_S1_TAG12_d4_o45_run1,100,92,92.0,TAG12,4,45,100
S20251104_S1_TAG12_d4_o90_run1,100,93,93.0,TAG12,4,90,100
